dataset,model,seed,forget_size,method,accuracy,fid,mia
heart,MLP,108,5,SISA,0.8361,0.061921,0.3
heart,MLP,108,5,Weighting,0.8689,0.044737,0.1
heart,MLP,108,10,Exact,0.8525,0.000908,0.0
heart,MLP,108,10,SISA,0.8361,0.062807,0.0
heart,MLP,108,10,Weighting,0.8525,0.05927,0.0
heart,MLP,109,5,Exact,0.7705,0.001591,0.1
heart,MLP,109,5,SISA,0.7541,0.053939,0.1
heart,MLP,109,5,Weighting,0.7377,0.030907,0.1
heart,MLP,109,10,Exact,0.8525,0.001495,0.1
heart,MLP,109,10,SISA,0.7705,0.070536,0.1
heart,MLP,109,10,Weighting,0.7869,0.025523,0.1
heart,MLP,110,5,Exact,0.8525,0.000626,0.3
heart,MLP,110,5,SISA,0.8033,0.076071,0.3
heart,MLP,110,5,Weighting,0.8525,0.029618,0.1
heart,MLP,110,10,Exact,0.8525,0.001241,0.0
heart,MLP,110,10,SISA,0.8197,0.081791,0.0
heart,MLP,110,10,Weighting,0.8361,0.020068,0.0
heart,MLP,111,5,Exact,0.8197,0.000604,0.1
heart,MLP,111,5,SISA,0.8361,0.076081,0.1
heart,MLP,111,5,Weighting,0.8197,0.016397,0.1
heart,MLP,111,10,Exact,0.7541,0.000975,0.1
heart,MLP,111,10,SISA,0.8197,0.074922,0.1
heart,MLP,111,10,Weighting,0.8197,0.035204,0.1
heart,MLP,112,5,Exact,0.8525,0.000398,0.1
heart,MLP,112,5,SISA,0.8361,0.092331,0.1
heart,MLP,112,5,Weighting,0.8197,0.055852,0.1
heart,MLP,112,10,Exact,0.8525,0.001408,0.0
heart,MLP,112,10,SISA,0.8361,0.108595,0.0
heart,MLP,112,10,Weighting,0.8033,0.044014,0.0
heart,MLP,113,5,Exact,0.8525,0.000528,0.3
heart,MLP,113,5,SISA,0.8197,0.07121,0.5
heart,MLP,113,5,Weighting,0.8525,0.027514,0.5
heart,MLP,113,10,Exact,0.8525,0.000403,0.1
heart,MLP,113,10,SISA,0.8197,0.072296,0.2
heart,MLP,113,10,Weighting,0.8525,0.048639,0.1
heart,MLP,114,5,Exact,0.7869,0.000244,0.3
heart,MLP,114,5,SISA,0.7377,0.121579,0.3
heart,MLP,114,5,Weighting,0.8197,0.026322,0.3
heart,MLP,114,10,Exact,0.8361,0.000681,0.0
heart,MLP,114,10,SISA,0.7377,0.102055,0.0
heart,MLP,114,10,Weighting,0.8361,0.018718,0.0
